Manufacturer,Name,Family,Class,Pass.Rating,Speed,FuelClimb,FuelTaxi,FuelHour,Range,Runway,CabinWidth,CabinLength,SeatMax, Price ,WearTakeoff,WearFlight,HP,ProductionCost
Avic ,MA-600,AV,Prop,62,514,646,384,810,1430,1490,260,2430,60,21900000,71,40,2000,52
ATR,ATR-42,ATR,Prop,65,491,500,153,757,1150,1410,257,2264,50,22100000,71,40,2000,51
Embrear,Embrear 195,EMB,Regio,77,870,1881,941,1381,2593,2020,260,3865,108,40000000,71,40,2500,52
Antonov,AN158A,AN,Regio,82,870,1889,860,1200,2200,1610,260,3083,99,27900000,73,40,2500,52
Antonov,AN158W,AN,Regio,82,870,1891,865,1217,3500,1610,260,3083,99,27900000,73,40,2500,52
Bombardier,CRJ900NG,CRJ,Regio,79,882,1581,845,1191,1734,1680,260,3610,90,38500000,68,39,2500,52
Sukhoi,SSJ 100-110,SU,Regio,79,980,1953,941,1501,4578,2052,324,2181,110,35500000,71,40,2500,65
Sukhoi,SSJ 100-95,SU,Regio,79,980,1810,907,1355,110,1731,324,2042,98,32000000,71,40,2500,65
Embrear,Embrear 175 enhanced,EMB,Regio,79,870,1671,941,1182,3334,2020,260,3168,88,28000000,71,40,2500,52
Antonov,AN148A,AN,Regio,82,870,1575,845,1189,2200,1610,260,2913,85,24000000,73,40,2500,52
Antonov,AN148W,AN,Regio,82,870,1581,845,1191,3600,1610,260,2913,85,24500000,73,40,2500,52
Antonov,AN148E,AN,Regio,82,870,1586,845,1199,4400,1610,260,2913,85,24500000,73,40,2500,52
Embrear,Embrear 190,EMB,Regio,77,870,1871,941,1371,2334,2020,260,3624,98,32000000,71,40,2500,52
Embrear,Embrear 170,EMB,Regio,77,870,1771,933,997,3334,2020,260,2990,80,26500000,71,40,2500,52
Bombardier,CRJ700NG,CRJ,Regio,79,885,1453,831,921,3184,1652,260,3251,70,24400000,68,39,2500,52
Sukhoi,SSJ 100-75LR,SU,Regio,79,980,1853,901,1001,85,1515,324,1950,78,30000000,71,40,2500,65
Sukhoi,SSJ 100-60,SU,Regio,79,980,1753,856,855,3204,1558,324,1851,68,27300000,71,40,2500,65
Antonov,AN140A,AN,Prop,68,575,646,384,710,2280,1495,260,1450,40,16800000,75,39,2000,52
Embrear,ERJ 145,ERJ,Regio,77,850,1401,899,855,1866,1550,211,3000,50,21000000,71,40,2500,42
Embrear,ERJ 140,ERJ,Regio,77,850,1325,899,845,1866,1550,211,2990,44,18000000,71,40,2500,42
Embrear,ERJ 135,ERJ,Regio,77,850,1301,899,835,1866,1550,211,2630,34,16500000,71,40,2500,42
