Code,Name,Alliance,MainHub,Money,ActionPoints,Hubs,Quote,QualityLevel,AircraftModels
LLA,Lapland Air,SunAlliance,HEL,4000000000,4,_NULL_,1:3:1,81,B78;737NG;AN
ALA,Over the Alps,SunAlliance,VCE,6000000000,6,LIN,0:1:1,81,737MAX;B76;CRJ
CAI,Cappadocia Air,SunAlliance,AYT,6000000000,6,ADB,0:3.1,81,A320;AN
URA,UraLines,SunAlliance,SVO,8000000000,8,VVO,KRR,1:0:3,81,TU;SU
KQA,Kings and Queens Airlines,InterTeam,AMS,10000000000,10,_NULL_,2:1:0,79,A380;A320
KQR,Kings and Queens Regional,InterTeam,AMS,6000000000,6,_NULL_,0:3:1,79,A320;CRJ
API,Air Paris,InterTeam,CDG,8000000000,8,BSL,1:2:2,77,CRJ;CSeries;B74
MAA,Madrid Airlines,_NULL_,MAD,10000000000,10,_NULL_,1:1:1,77,SU;D8;B74
WAC,Wales Air City,InterTeam,LHR,10000000000,10,MAN,EDI,0:0:1,73,737NG;D8
WAI,Wales Air International,InterTeam,LHR,6000000000,6,MAN,1:2:0,73,B78;737
CAR,Caribian,InterTeam,SSA,6000000000,6,_NULL_,0:2:1,73,D8;A320
AMO,Air Montana,InterTeam,SGF,8000000000,8,_NULL_,0:1:3,72,D8;CSeries
TCJ,Transoceanic,InterTeam,HND,8000000000,8,ITM,2:0:1,72,CRJ;B78
VIA,VIAair,_NULL_,SOF,8000000000,8,_NULL_,1:3:1,71,SU;TU
TAP,Transalpina,InterTeam,BKR,6000000000,6,_NULL_,0:3:1,71,AN;CRJ
GHO,Ghost Air,InterTeam,LGA,8000000000,8,SEA;FLL,2:1:0,71,B74;737NG
GHO,Ghost Air Connect,InterTeam,LGA,8000000000,8,SEA;FLL,0:0:1,71,737NG;AN
MEA,Middle Earth Airlines,InterTeam,AKL,8000000000,8,_NULL_,1:1:0,71,A330;A320
BAR,Bien Air,InterTeam,EZE,6000000000,6,_NULL_,0:1:1,70,CRJ;D8
MAG,Magic,_NULL_,BUD,8000000000,8,_NULL_,0:1:0,68,ATR;A320
ZEU,Zeuss Air,Americans,GRU,4000000000,4,GIG,1:1:1,68,EMB;ERJ;A320;A330
FOR,Forrest Air,Americans,YUL,8000000000,8,_NULL_,0:1:2,68,AN;A320
CAM,FlyCampeche,Americans,CUN,8000000000,8,MTY,1:2:2,68,ERJ;737NG;B74
APC,Palantic,Americans,ECP,4000000000,4,_NULL_,1:1:0,68,D8;TU
BEA,BEAM ,Americans,VER,4000000000,4,_NULL_,1:2:1,68,SU
ICE,Fly on Ice,Americans,DEN,10000000000,10,_NULL_,0:1:5,68,737NG
SWI,South Wings,Americans,MIA,10000000000,10,PHX,1:2:2,68,B78;737NG
HJB,Heavy Jet Britain,HeavyJET,LGW,5000000000,5,ABZ,0:1:0,63,737NG
HJA,Heavy Jet Austria,HeavyJET,VIE,5000000000,5,_NULL_,0:1:0,62,737NG
HJB,Heavy Jet Belgium,HeavyJET,BRU,5000000000,5,_NULL_,0:1:0,62,737NG
MBB,Max Baker Britain,Max Baker,NWI,5000000000,5,_NULL_,0:1:1,62,A320
MBP,Max Baker Poland,Max Baker,POZ,5000000000,5,_NULL_,0:1:0,61,A320
AHB,Air Hamburg,_NULL_,HAM,10000000000,10,_NULL_,0:1:1,60,AN
LKS,Luftikus,_NULL_,TXL,10000000000,10,_NULL_,1:2:2,60,ATR;CSeries;B76
HJS,Heavy Jet Switzerland,HeavyJET,ZRH,5000000000,5,_NULL_,0:1.0,60,737NG
MBS,Max Baker Scandinavia,Max Baker,CPH,5000000000,5,_NULL_,0:1:0,58,A320
MBN,Max Baker Scandinavia,Max Baker,MMX,5000000000,5,_NULL_,0:1:0,58,A320
NEA,North East Airways,_NULL_,BOS,10000000000,10,_NULL_,0:1:4,58,CRJ;737NG
MBM,Max Baker Mediterran,Max Baker,BCN,5000000000,5,_NULL_,0:3:1,57,A320
PCF,Pacifica,_NULL_,MNL,8000000000,8,_NULL_,2:2:1,53,ATR;TU
UAR,UrlaubsAIr,_NULL_,CGN,10000000000,10,_NULL_,0:1:0,50,737NG
SHA,Shanghaian,OpenWorld,PVG,10000000000,10,TSN,1:2:2,83,B74;373NG;AV
DRA,Dragon Global,InterTeam,PEK,6000000000,10,KMG,2:1:2,71,TU;A330;SU
DRC,Dragon Connect,InterTeam,PEK,6000000000,6,KMG,0:0:1,71,SU;D8
TSW,Tianjin Skyways,GLOBE,TSN,8000000000,8,_NULL_,1:1:1,94,373MAX;CRJ;A380
NGA,NextGen Air,,NKG,10000000000,10,XIX,0:1:2,99,CSeries
RSA,Rising Sun Airlines,SunAlliance,XIX,8000000000,8,PVG;SHA,1:1:3,87,373MAX;D8;A330
CHO,CityHopper,SunAlliance,SYD,10000000000,10,CBR;PER,2:1:4,85,EMB;ERJ;A320NEO;A380
SYD,Sydney Air Compay,InterTeam,ADL,10000000000,10,SYD;PER,2:1:4,73,SU;B76
ATM,Atomic,GLOBE,MEL,10000000000,10,BNE;PER,2:1:4,91,AN;737MAX;A380
