Iata,Icao,Region,Municipality,Name,IsHub,Latitude,Longitude,Elevation,Type,RunwayLength,RunwayCount,Slots,Passengers,WikiURL,Spalte1,Spalte2,Spalte3,Spalte4
AMS,EHAM,NL-NH,Amsterdam,Amsterdam Airport Schiphol,1,52.30860138,4.76388979,-11,L,12467,6,26,57164,http://en.wikipedia.org/wiki/Amsterdam_Schiphol_Airport,,,,
ANC,PANC,US-AK,Anchorage,Ted Stevens Anchorage International Airport,1,61.17440033,-149.9960022,152,L,11584,3,20,6214,http://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport,,,,
ARN,ESSA,SE-AB,Stockholm,Stockholm-Arlanda Airport,1,59.65190125,17.91860008,137,L,10830,3,18,26592,http://en.wikipedia.org/wiki/Stockholm-Arlanda_Airport,,,,
ATH,LGAV,GR-A1,Athens,Eleftherios Venizelos International Airport,1,37.93640137,23.94449997,308,L,13123,2,18,26735,http://en.wikipedia.org/wiki/Athens_International_Airport,,,,
ATL,KATL,US-GA,Atlanta,Hartsfield Jackson Atlanta International Airport,1,33.63669968,-84.42810059,1026,L,11890,5,24,106166,http://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport,,,,
AUH,OMAA,AE-AZ,Abu Dhabi,Abu Dhabi International Airport,1,24.43300056,54.65110016,88,L,13452,2,16,24100,http://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,,,,
AUS,KAUS,US-TX,Austin,Austin Bergstrom International Airport,1,30.19449997,-97.66989899,542,L,12248,2,17,10933,0,,,,
AYT,LTAI,TR-07,Antalya,Antalya International Airport,1,36.898701,30.800501,177,L,11155,3,18,15572,http://en.wikipedia.org/wiki/Antalya_Airport,,,,
BAH,OBBI,BH-15,Manama,Bahrain International Airport,1,26.27079964,50.63359833,6,L,12979,2,17,8700,http://en.wikipedia.org/wiki/Bahrain_International_Airport,,,,
BCN,LEBL,ES-CT,Barcelona,Barcelona International Airport,1,41.29710007,2.078459978,12,L,11654,3,18,40030,http://en.wikipedia.org/wiki/Barcelona_International_Airport,,,,
BDL,KBDL,US-CT,Hartford,Bradley International Airport,1,41.93889999,-72.68319702,173,L,9510,3,18,5039,http://en.wikipedia.org/wiki/Bradley_International_Airport,,,,
BEL,SBBE,BR-PA,Bel??m,Val de Cans/J??lio Cezar Ribeiro International Airport,1,-1.37925005,-48.47629929,54,L,9186,3,16,4157,http://en.wikipedia.org/wiki/Val_de_Cans_International_Airport,,,,
BEY,OLBA,LB-JL,Beirut,Beirut Rafic Hariri International Airport,1,33.82089996,35.48839951,87,L,12467,3,18,7577,http://en.wikipedia.org/wiki/Beirut_Rafic_Hariri_International_Airport,,,,
BFI,KBFI,US-WA,Seattle,Boeing Field King County International Airport,1,47.52999878,-122.302002,21,L,10000,2,15,4583,http://en.wikipedia.org/wiki/Boeing_Field,,,,
BFS,EGAA,GB-NIR,Belfast,Belfast International Airport,1,54.65750122,-6.215829849,268,L,9121,2,14,4542,http://en.wikipedia.org/wiki/Belfast_International_Airport,,,,
BGW,ORBI,IQ-BG,Baghdad,Baghdad International Airport,1,33.26250076,44.23460007,114,L,13124,2,18,3958,http://en.wikipedia.org/wiki/Baghdad_International_Airport,,,,
BGY,LIME,IT-25,Bergamo,Il Caravaggio International Airport,1,45.673901,9.70417,782,L,9636,2,14,9642,http://en.wikipedia.org/wiki/Il_Caravaggio_International_Airport,,,,
BHM,KBHM,US-AL,Birmingham,Birmingham-Shuttlesworth International Airport,1,33.56290054,-86.75350189,650,L,10000,2,15,3642,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),,,,
BIL,KBIL,US-MT,Billings,Billings Logan International Airport,1,45.80770111,-108.5429993,3652,L,10518,3,18,3416,http://en.wikipedia.org/wiki/Billings_Logan_International_Airport,,,,
BLV,KBLV,US-IL,Belleville,Scott AFB/Midamerica Airport,1,38.5452,-89.835197,459,L,10000,2,15,4625,http://en.wikipedia.org/wiki/Scott_Air_Force_Base,,,,
BMI,KBMI,US-IL,Bloomington/Normal,Central Illinois Regional Airport at Bloomington-Normal,1,40.47710037,-88.91590118,871,L,8000,3,16,3541,http://en.wikipedia.org/wiki/Central_Illinois_Regional_Airport,,,,
BNA,KBNA,US-TN,Nashville,Nashville International Airport,1,36.12450027,-86.67819977,599,L,11030,4,21,8297,http://en.wikipedia.org/wiki/Nashville_International_Airport,,,,
BNE,YBBN,AU-QLD,Brisbane,Brisbane International Airport,1,-27.38419914,153.1170044,13,L,3560,2,12,31879,http://en.wikipedia.org/wiki/Brisbane_Airport,,,,
BOD,LFBD,FR-B,Bordeaux/M??rignac,Bordeaux-M??rignac Airport,1,44.82830048,-0.715556026,162,L,10171,2,15,9092,http://en.wikipedia.org/wiki/Bordeaux%E2%80%93M%C3%A9rignac_Airport,,,,
BOG,SKBO,CO-CUN,Bogota,El Dorado International Airport,1,4.70159,-74.1469,8361,L,12467,2,16,19723,http://en.wikipedia.org/wiki/El_Dorado_International_Airport,,,,
BOI,KBOI,US-ID,Boise,Boise Air Terminal/Gowen field,1,43.56439972,-116.2229996,2871,L,10000,3,18,4500,http://en.wikipedia.org/wiki/Boise_Airport,,,,
BOS,KBOS,US-MA,Boston,General Edward Lawrence Logan International Airport,1,42.36429977,-71.00520325,20,L,10083,6,25,26247,http://en.wikipedia.org/wiki/Logan_International_Airport,,,,
BRE,EDDW,DE-HB,Bremen,Bremen Airport,1,53.04750061,8.786669731,14,L,6693,2,11,5000,http://en.wikipedia.org/wiki/Bremen_Airport,,,,
BRI,LIBD,IT-75,Bari,Bari Karol Wojty?éa Airport,1,41.138901,16.760599,177,L,9252,2,13,6428,http://en.wikipedia.org/wiki/Bari_Karol_Wojty%C5%82a_Airport,,,,
BRU,EBBR,BE-BRU,Brussels,Brussels Airport,1,50.90140152,4.48443985,184,L,11936,3,20,36490,http://en.wikipedia.org/wiki/Brussels_Airport,,,,
BSB,SBBR,BR-DF,Bras?¡lia,Presidente Juscelino Kubistschek International Airport,1,-15.86916733,-47.92083359,3497,L,10827,2,15,11550,http://en.wikipedia.org/wiki/Bras%C3%ADlia_International_Airport,,,,
BSL,LFSB,FR-A,B?óle/Mulhouse,EuroAirport Basel-Mulhouse-Freiburg Airport,1,47.59,7.5291667,885,L,12795,2,17,10857,http://en.wikipedia.org/wiki/EuroAirport_Basel-Mulhouse-Freiburg,,,,
BTR,KBTR,US-LA,Baton Rouge,Baton Rouge Metropolitan,1,30.53319931,-91.14959717,70,L,7004,3,15,3791,http://en.wikipedia.org/wiki/Baton_Rouge_Metropolitan_Airport,,,,
BTS,LZIB,SK-BL,Bratislava,M. R. ?átef?ínik Airport,1,48.17020035,17.21269989,436,L,10466,2,14,4375,http://en.wikipedia.org/wiki/M._R._%C5%A0tef%C3%A1nik_Airport,,,,
BUD,LHBP,HU-PE,Budapest,Budapest Ferenc Liszt International Airport,1,47.43690109,19.25559998,495,L,12162,2,17,13066,http://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport,,,,
BUF,KBUF,US-NY,Buffalo,Buffalo Niagara International Airport,1,42.94049835,-78.73220062,728,L,8102,2,13,3557,http://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport,,,,
BWI,KBWI,US-MD,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,1,39.17539978,-76.66829681,146,L,10502,4,20,16904,http://en.wikipedia.org/wiki/Baltimore-Washington_International_Thurgood_Marshall_Airport,,,,
CAE,KCAE,US-SC,Columbia,Columbia Metropolitan Airport,1,33.93880081,-81.11949921,236,L,8601,2,13,3708,http://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport,,,,
CAI,HECA,EG-C,Cairo,Cairo International Airport,1,30.12190056,31.40559959,382,L,13124,3,20,20133,http://en.wikipedia.org/wiki/Cairo_International_Airport,,,,
CAN,ZGGG,CN-44,Guangzhou,Guangzhou Baiyun International Airport,1,23.39240074,113.2990036,50,L,3800,3,18,18795,http://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,,,,
CBR,YSCB,AU-ACT,Canberra,Canberra International Airport,1,-35.30690002,149.1950073,1886,L,3283,2,12,27500,http://en.wikipedia.org/wiki/Canberra_International_Airport,,,,
CDG,LFPG,FR-J,Paris,Charles de Gaulle International Airport,1,49.01279831,2.549999952,392,L,13829,4,23,56142,http://www.vashikaranspecialistastrologer.com/,,,,
CGH,SBSP,BR-SP,S?úo Paulo,Congonhas Airport,1,-23.62611008,-46.65638733,2631,L,6365,2,11,6378,http://en.wikipedia.org/wiki/Congonhas-S%C3%A3o_Paulo_International_Airport,,,,
CGN,EDDK,DE-NW,Cologne,Cologne Bonn Airport,1,50.86589813,7.142739773,302,L,12516,3,20,14516,http://en.wikipedia.org/wiki/Cologne_Bonn_Airport,,,,
CHA,KCHA,US-TN,Chattanooga,Lovell Field,1,35.03530121,-85.20379639,683,L,7400,2,13,3333,http://en.wikipedia.org/wiki/Chattanooga_Metropolitan_Airport,,,,
CHC,NZCH,NZ-CAN,Christchurch,Christchurch International Airport,1,-43.48939896,172.5319977,123,L,10787,3,18,4166,http://en.wikipedia.org/wiki/Christchurch_International_Airport,,,,
CHS,KCHS,US-SC,Charleston,Charleston Air Force Base-International Airport,1,32.89860153,-80.04049683,46,L,9001,2,15,4791,http://en.wikipedia.org/wiki/Charleston_International_Airport,,,,
CID,KCID,US-IA,Cedar Rapids,The Eastern Iowa Airport,1,41.88470078,-91.71080017,869,L,8601,2,14,3500,http://en.wikipedia.org/wiki/The_Eastern_Iowa_Airport,,,,
CJJ,RKTU,KR-43,Cheongju,Cheongju International Airport/Cheongju Air Base (K-59/G-513),1,36.717008,127.498741,191,L,9000,2,14,3875,http://en.wikipedia.org/wiki/Cheongju_Airport,,,,
CJU,RKPC,KR-49,Jeju City,Jeju International Airport,1,33.51129913,126.4929962,118,L,9843,2,14,7515,http://en.wikipedia.org/wiki/Jeju_International_Airport,,,,
CLE,KCLE,US-OH,Cleveland,Cleveland Hopkins International Airport,1,41.4117012,-81.84980011,791,L,9000,4,19,10607,http://en.wikipedia.org/wiki/Cleveland_Hopkins_International_Airport,,,,
CLT,KCLT,US-NC,Charlotte,Charlotte Douglas International Airport,1,35.2140007,-80.94309998,748,L,10000,4,20,33683,http://en.wikipedia.org/wiki/Charlotte/Douglas_International_Airport,,,,
CMH,KCMH,US-OH,Columbus,John Glenn Columbus International Airport,1,39.998001,-82.891899,815,L,10125,2,15,8025,http://en.wikipedia.org/wiki/Port_Columbus_International_Airport,,,,
CMN,GMMN,MA-CAS,Casablanca,Mohammed V International Airport,1,33.36750031,-7.589970112,656,L,12205,2,15,14732,0,,,,
COS,KCOS,US-CO,Colorado Springs,City of Colorado Springs Municipal Airport,1,38.80580139,-104.7009964,6187,L,13501,3,21,4708,http://en.wikipedia.org/wiki/Colorado_Springs_Airport,,,,
CPH,EKCH,DK-84,Copenhagen,Copenhagen Kastrup Airport,1,55.61790085,12.65600014,17,L,11811,3,21,27261,http://en.wikipedia.org/wiki/Copenhagen_Airport,,,,
CPR,KCPR,US-WY,Casper,Casper-Natrona County International Airport,1,42.90800095,-106.4639969,5350,L,10164,4,20,3416,http://en.wikipedia.org/wiki/Natrona_County_International_Airport,,,,
CPT,FACT,ZA-WC,Cape Town,Cape Town International Airport,1,-33.96480179,18.60169983,151,L,10502,2,15,5814,http://en.wikipedia.org/wiki/Cape_Town_International_Airport,,,,
CRK,RPLC,PH-PAM,Angeles/Mabalacat,Diosdado Macapagal International Airport,1,15.186,120.559998,484,L,10499,2,14,4500,http://en.wikipedia.org/wiki/Diosdado_Macapagal_International_Airport,,,,
CRP,KCRP,US-TX,Corpus Christi,Corpus Christi International Airport,1,27.77039909,-97.50119781,44,L,7508,2,13,3625,http://en.wikipedia.org/wiki/Corpus_Christi_International_Airport,,,,
CRW,KCRW,US-WV,Charleston,Yeager Airport,1,38.37310028,-81.59320068,981,L,6302,2,12,3875,http://en.wikipedia.org/wiki/Yeager_Airport,,,,
CTS,RJCC,JP-01,Chitose / Tomakomai,New Chitose Airport,1,42.77519989,141.6920013,82,L,9840,2,14,10703,http://en.wikipedia.org/wiki/New_Chitose_Airport,,,,
CUN,MMUN,MX-ROO,Canc??n,Canc??n International Airport,1,21.03650093,-86.87709808,22,L,11483,2,16,16447,http://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport,,,,
CVG,KCVG,US-KY,Cincinnati,Cincinnati Northern Kentucky International Airport,1,39.04880142,-84.6678009,896,L,12000,4,22,8928,http://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport,,,,
CWB,SBCT,BR-PR,Curitiba,Afonso Pena Airport,1,-25.5284996,-49.17580032,2988,L,7267,2,12,5016,http://en.wikipedia.org/wiki/Afonso_Pena_International_Airport,,,,
DAB,KDAB,US-FL,Daytona Beach,Daytona Beach International Airport,1,29.179899,-81.058098,34,L,10500,3,18,4375,http://en.wikipedia.org/wiki/Daytona_Beach_International_Airport,,,,
DAL,KDAL,US-TX,Dallas,Dallas Love Field,1,32.847099,-96.851799,487,L,8800,3,16,4569,http://en.wikipedia.org/wiki/Dallas_Love_Field,,,,
DAM,OSDI,SY-DI,Damascus,Damascus International Airport,1,33.41149902,36.5155983,2020,L,11811,2,15,3416,http://en.wikipedia.org/wiki/Damascus_International_Airport,,,,
DAR,HTDA,TZ-02,Dar es Salaam,Julius Nyerere International Airport,1,-6.87811,39.202599,182,L,9843,2,13,3458,http://en.wikipedia.org/wiki/Julius_Nyerere_International_Airport,,,,
DAY,KDAY,US-OH,Dayton,James M Cox Dayton International Airport,1,39.90240097,-84.2193985,1009,L,10900,3,18,3458,http://en.wikipedia.org/wiki/Dayton_International_Airport,,,,
DBQ,KDBQ,US-IA,Dubuque,Dubuque Regional Airport,1,42.40200043,-90.70950317,1077,L,6502,2,12,3666,http://en.wikipedia.org/wiki/Dubuque_Regional_Airport,,,,
DCA,KDCA,US-DC,Washington,Ronald Reagan Washington National Airport,1,38.8521,-77.037697,15,L,6869,3,14,20766,http://en.wikipedia.org/wiki/Ronald_Reagan_Washington_National_Airport,,,,
DEN,KDEN,US-CO,Denver,Denver International Airport,1,39.86169815,-104.6729965,5431,L,16000,6,30,48992,http://en.wikipedia.org/wiki/Denver_International_Airport,,,,
DFW,KDFW,US-TX,Dallas-Fort Worth,Dallas Fort Worth International Airport,1,32.89680099,-97.03800201,607,L,13401,7,30,48016,http://en.wikipedia.org/wiki/Dallas-Fort_Worth_International_Airport,,,,
DKR,GOOY,SN-DK,Dakar,L??opold S??dar Senghor International Airport,1,14.73970032,-17.49020004,85,L,11450,2,15,6779,http://en.wikipedia.org/wiki/Dakar-Yoff-L%C3%A9opold_S%C3%A9dar_Senghor_International_Airport,,,,
DLH,KDLH,US-MN,Duluth,Duluth International Airport,1,46.84209824,-92.19360352,1428,L,10152,2,15,3541,http://en.wikipedia.org/wiki/Duluth_International_Airport,,,,
DME,UUDD,RU-MOS,Moskow,Moscow Domodedovo Airport,1,55.408611,37.906111,183,L,12440,3,21,43999,http://en.wikipedia.org/wiki/Domodedovo_International_Airport,,,,
DMM,OEDF,SA-04,Ad Dammam,King Fahd International Airport,1,26.47120094,49.79790115,72,L,13124,2,17,8785,http://en.wikipedia.org/wiki/King_Fahd_International_Airport,,,,
DOH,QA-0001,QA-DA,Doha,Hamad International Airport,1,25.273056,51.608056,13,L,15912,2,19,20250,http://en.wikipedia.org/wiki/Hamad_International_Airport,,,,
DSM,KDSM,US-IA,Des Moines,Des Moines International Airport,1,41.5340004,-93.6631012,958,L,9003,2,14,3500,http://en.wikipedia.org/wiki/Des_Moines_International_Airport,,,,
DTW,KDTW,US-MI,Detroit,Detroit Metropolitan Wayne County Airport,1,42.21239853,-83.35340118,645,L,12003,6,27,22114,http://en.wikipedia.org/wiki/Detroit_Metropolitan_Wayne_County_Airport,,,,
DUB,EIDW,IE-D,Dublin,Dublin Airport,1,53.42129898,-6.270070076,242,L,8652,3,16,28092,http://en.wikipedia.org/wiki/Dublin_Airport,,,,
DUS,EDDL,DE-NW,Düsseldorf,Düsseldorf Airport,1,51.289501,6.76678,147,L,9842,2,15,29517,http://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,,,,
DXB,OMDB,AE-DU,Dubai,Dubai International Airport,1,25.25279999,55.36439896,62,L,13124,2,17,38142,http://en.wikipedia.org/wiki/Dubai_International_Airport,,,,
EDI,EGPH,GB-SCT,Edinburgh,Edinburgh Airport,1,55.95000076,-3.372499943,135,L,8400,3,15,15441,http://en.wikipedia.org/wiki/Edinburgh_Airport,,,,
ERI,KERI,US-PA,Erie,Erie International Tom Ridge Field,1,42.08312701,-80.17386675,732,L,8420,2,14,4250,http://en.wikipedia.org/wiki/Erie_International_Airport,,,,
ERZ,LTCE,TR-25,Erzurum,Erzurum International Airport,1,39.95650101,41.17020035,5763,L,12500,3,18,3500,http://en.wikipedia.org/wiki/Erzurum_Airport,,,,
ESB,LTAC,TR-06,Ankara,Esenbo?a International Airport,1,40.12810135,32.99509811,3125,L,12303,2,16,5447,http://en.wikipedia.org/wiki/Esenbo%C4%9Fa_International_Airport,,,,
EWR,KEWR,US-NJ,Newark,Newark Liberty International Airport,1,40.69250107,-74.16870117,18,L,11000,3,18,30119,http://en.wikipedia.org/wiki/Newark_Liberty_International_Airport,,,,
EXT,EGTE,GB-ENG,Exeter,Exeter International Airport,1,50.7344017,-3.413889885,102,L,6834,2,11,4083,http://en.wikipedia.org/wiki/Exeter_International_Airport,,,,
EZE,SAEZ,AR-B,Buenos Aires,Ministro Pistarini International Airport,1,-34.8222,-58.5358,67,L,10827,2,15,8214,http://en.wikipedia.org/wiki/Ministro_Pistarini_International_Airport,,,,
FAI,PAFA,US-AK,Fairbanks,Fairbanks International Airport,1,64.81510162,-147.8560028,439,L,11800,4,22,3458,http://en.wikipedia.org/wiki/Fairbanks_International_Airport,,,,
FCO,LIRF,IT-62,Rome,Leonardo da Vinci?ÇôFiumicino Airport,1,41.8002778,12.2388889,13,L,12795,4,21,40980,http://en.wikipedia.org/wiki/Leonardo_da_Vinci%E2%80%93Fiumicino_Airport,,,,
FLL,KFLL,US-FL,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,1,26.07259941,-80.15270233,9,L,9000,3,16,22364,http://en.wikipedia.org/wiki/Fort_Lauderdale-Hollywood_International_Airport,,,,
FLN,SBFL,BR-SC,Florian??polis,Herc?¡lio Luz International Airport,1,-27.67027855,-48.55250168,16,L,7546,2,12,3666,http://en.wikipedia.org/wiki/Herc%C3%ADlio_Luz_International_Airport,,,,
FRA,EDDF,DE-HE,Frankfurt am Main,Frankfurt am Main Airport,1,50.033333,8.570556,364,L,13123,4,23,62000,http://en.wikipedia.org/wiki/Frankfurt_Airport,,,,
FSM,KFSM,US-AR,Fort Smith,Fort Smith Regional Airport,1,35.33660126,-94.36740112,469,L,8000,2,14,3833,http://en.wikipedia.org/wiki/Fort_Smith_Regional_Airport,,,,
FWA,KFWA,US-IN,Fort Wayne,Fort Wayne International Airport,1,40.97850037,-85.19509888,814,L,12000,3,19,4083,http://en.wikipedia.org/wiki/Fort_Wayne_International_Airport,,,,
GDL,MMGL,MX-JAL,Guadalajara,Don Miguel Hidalgo Y Costilla International Airport,1,20.52179909,-103.310997,5016,L,13140,2,16,9853,http://en.wikipedia.org/wiki/Don_Miguel_Hidalgo_y_Costilla_International_Airport,,,,
GEG,KGEG,US-WA,Spokane,Spokane International Airport,1,47.61989975,-117.5339966,2376,L,11002,2,16,4125,http://en.wikipedia.org/wiki/Spokane_International_Airport,,,,
GIG,SBGL,BR-RJ,Rio De Janeiro,Rio Gale?úo ?Çô Tom Jobim International Airport,1,-22.80999947,-43.25055695,28,L,13123,2,17,11433,http://en.wikipedia.org/wiki/Rio_de_Janeiro-Gale%C3%A3o_International_Airport,,,,
GLA,EGPF,GB-SCT,Glasgow,Glasgow International Airport,1,55.87189865,-4.433060169,26,L,8720,2,13,9523,http://en.wikipedia.org/wiki/Glasgow_International_Airport,,,,
GMP,RKSS,KR-11,Seoul,Gimpo International Airport,1,37.5583,126.791,59,L,11811,2,17,4782,http://en.wikipedia.org/wiki/Gimpo_International_Airport,,,,
GPT,KGPT,US-MS,Gulfport,Gulfport Biloxi International Airport,1,30.40730095,-89.07009888,28,L,9002,3,17,4041,http://en.wikipedia.org/wiki/Gulfport-Biloxi_International_Airport,,,,
GRB,KGRB,US-WI,Green Bay,Austin Straubel International Airport,1,44.48509979,-88.12960052,695,L,8201,3,16,4291,http://en.wikipedia.org/wiki/Austin_Straubel_International_Airport,,,,
GRU,SBGR,BR-SP,S?úo Paulo,Guarulhos - Governador Andr?? Franco Montoro International Airport,1,-23.43555641,-46.47305679,2459,L,12139,2,16,19989,http://en.wikipedia.org/wiki/S%C3%A3o_Paulo-Guarulhos_International_Airport,,,,
GSO,KGSO,US-NC,Greensboro,Piedmont Triad International Airport,1,36.09780121,-79.93730164,925,L,10001,3,17,4500,http://en.wikipedia.org/wiki/Piedmont_Triad_International_Airport,,,,
GVA,LSGG,CH-GE,Geneva,Geneva Cointrin International Airport,1,46.23809814,6.108950138,1411,L,12795,2,17,20157,http://en.wikipedia.org/wiki/Geneva_Cointrin_International_Airport,,,,
GZT,LTAJ,TR-27,Gaziantep,Gaziantep International Airport,1,36.94720078,37.47869873,2315,L,9843,2,13,3416,http://en.wikipedia.org/wiki/O%C4%9Fuzeli_Airport,,,,
HAJ,EDDV,DE-NI,Hannover,Hannover Airport,1,52.46110153,9.685079575,183,L,12467,3,19,8776,http://en.wikipedia.org/wiki/Hanover/Langenhagen_International_Airport,,,,
HAM,EDDH,DE-HH,Hamburg,Hamburg Airport,1,53.63040161,9.988229752,53,L,12028,2,16,18400,http://en.wikipedia.org/wiki/Hamburg_Airport,,,,
HEL,EFHK,FI-ES,Helsinki,Helsinki Vantaa Airport,1,60.31719971,24.9633007,179,L,11286,3,19,15142,http://en.wikipedia.org/wiki/Helsinki-Vantaa_Airport,,,,
HER,LGIR,GR-91,Heraklion,Heraklion International Nikos Kazantzakis Airport,1,35.33969879,25.18029976,115,L,8800,3,16,12571,http://en.wikipedia.org/wiki/Heraklion_International_Airport%2C_%22Nikos_Kazantzakis%22,,,,
HIB,KHIB,US-MN,Hibbing,Range Regional Airport,1,47.38660049,-92.83899689,1354,L,6758,2,11,4583,http://en.wikipedia.org/wiki/Range_Regional_Airport,,,,
HMO,MMHO,MX-SON,Hermosillo,General Ignacio P. Garcia International Airport,1,29.09589958,-111.0479965,627,L,7546,2,12,3333,http://en.wikipedia.org/wiki/General_Ignacio_Pesqueira_Garcia_International_Airport,,,,
HND,RJTT,JP-13,Tokyo,Tokyo Haneda International Airport,1,35.552299,139.779999,35,L,9840,4,22,19625,http://en.wikipedia.org/wiki/Tokyo_International_Airport,,,,
HNL,PHNL,US-HI,Honolulu,Daniel K Inouye International Airport,1,21.32062,-157.924228,13,L,12300,6,25,13907,http://en.wikipedia.org/wiki/Honolulu_International_Airport,,,,
HOU,KHOU,US-TX,Houston,William P Hobby Airport,1,29.64539909,-95.27890015,46,L,7602,4,18,8370,http://en.wikipedia.org/wiki/William_P._Hobby_Airport,,,,
HSV,KHSV,US-AL,Huntsville,Huntsville International Carl T Jones Field,1,34.6371994,-86.77510071,629,L,12600,2,17,4166,http://en.wikipedia.org/wiki/Huntsville_International_Airport,,,,
HTS,KHTS,US-WV,Huntington,Tri-State/Milton J. Ferguson Field,1,38.36669922,-82.55799866,828,L,6509,2,12,3333,http://en.wikipedia.org/wiki/Tri-State_Airport,,,,
IAD,KIAD,US-DC,Washington,Washington Dulles International Airport,1,38.94449997,-77.45580292,312,L,11501,4,21,21233,http://en.wikipedia.org/wiki/Washington_Dulles_International_Airport,,,,
IAH,KIAH,US-TX,Houston,George Bush Intercontinental Houston Airport,1,29.9843998,-95.34140015,97,L,12001,5,25,27192,http://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport,,,,
ICN,RKSI,KR-28,Seoul,Incheon International Airport,1,37.46910095,126.4509964,23,L,13000,3,20,40523,http://en.wikipedia.org/wiki/Incheon_International_Airport,,,,
ICT,KICT,US-KS,Wichita,Wichita Mid Continent Airport,1,37.64989853,-97.43309784,1333,L,10301,3,18,3958,http://en.wikipedia.org/wiki/Kansas_City_International_Airport,,,,
IKA,OIIE,IR-07,Tehran,Imam Khomeini International Airport,1,35.41609955,51.15219879,3305,L,13940,2,17,5857,http://en.wikipedia.org/wiki/Imam_Khomeini_International_Airport,,,,
IND,KIND,US-IN,Indianapolis,Indianapolis International Airport,1,39.7173,-86.294403,797,L,11200,3,18,7557,http://en.wikipedia.org/wiki/Indianapolis_International_Airport,,,,
IST,LTBA,TR-34,Istanbul,Atat??rk International Airport,1,40.97689819,28.81459999,163,L,9843,3,17,39635,http://en.wikipedia.org/wiki/Atat%C3%BCrk_International_Airport,,,,
ITM,RJOO,JP-27,Osaka,Osaka International Airport,1,34.78549957,135.4380035,50,L,9840,2,15,4400,http://en.wikipedia.org/wiki/Osaka_International_Airport,,,,
